Txn No.,Txn Date,Description,Branch Name,Cheque No.,Dr Amount,Cr Amount,Balance,KIMS Remarks
S35225609,18-12-2024,"NRTGS/ICICR220241
21806800903/PUNE
BUSINESS SPACES",-,,,"3,21,460.00","11,17,00,418.
13 Dr.",
S35324948,18-12-2024,"NRTGS/HDFCR5202
4121871938130/SIYA
TRADING COMPANY",-,,,"10,14,889.00","11,06,85,529.
13 Dr.",
M297462,18-12-2024,"MMDU MULLANA
518210
-518210","AMBALA-MMET
MULANA COMPLEX",,,"51,73,946.00","10,55,11,583.
13 Dr.",
S35618192,18-12-2024,"NRTGS/ICICR520241
21800524915/LOKES
H STEEL TUBES",-,,,"10,00,000.00","10,45,11,583.
13 Dr.",
S36283379,18-12-2024,"IMPS-
IN/435312387150/701
5869792/PROJECT",-,,,"1,50,000.00","10,43,61,583.
13 Dr.",
S36607288,18-12-2024,"NRTGS/UTIBR52024
121800353005/VIJAY
SALES CORPORATI",-,,,"30,15,511.00","10,13,46,072.
13 Dr.",
S37432327,18-12-2024,"NEFT_IN:N35324346
1201926/0025/
BHARTI AIRTEL
LIMITED 14 NEW",-,,,"13,890.50","10,13,32,181.
63 Dr.",
S37905911,18-12-2024,"NRTGS/HDFCR5202
4121871885351/BOM
BAY HARDWARE
PRIVA",-,,,"3,96,734.00","10,09,35,447.
63 Dr.",
S39113375,18-12-2024,"NRTGS/CNRBR5202
4121895473357/SRE
EVATSA TUBES
PRIVA",-,,,"24,17,879.00","9,85,17,568.6
3 Dr.",
S39249295,18-12-2024,"NRTGS/PSIBR22024
121800289647/E T
FIRE SERVICE",-,,,"2,63,108.00","9,82,54,460.6
3 Dr.",
S39256194,18-12-2024,"NEFT_IN:N35324346
1285294/0026/
BOMBAY
HARDWARE
PRIVATE LIMITED
BAN",-,,,"12,072.00","9,82,42,388.6
3 Dr.",
S40449695,18-12-2024,"NRTGS/ICICR420241
21800525546/SANDL
EY INDUSTRIES",-,,,"15,78,006.00","9,66,64,382.6
3 Dr.",
S40777084,18-12-2024,"NRTGS/UTIBR62024
121889247426/STYL
EX FIRE
PROTECTIO",-,,,"5,45,108.00","9,61,19,274.6
3 Dr.",
S40861672,18-12-2024,"NEFT_IN:MAHBH243
53180695/0027/
AARADHYAA STEEL",-,,,"2,00,000.00","9,59,19,274.6
3 Dr.",
S41168262,18-12-2024,"BY INST 3599 :
CTO411-1 DAY  LAT",-,,,"5,00,000.00","9,54,19,274.6
3 Dr.",
S41302156,18-12-2024,"NEFT_IN:AXOIC3539
1136696/0027/
VARDHMAN PIPES",-,,,"4,00,000.00","9,50,19,274.6
3 Dr.",
M750172,18-12-2024,"3T
-007110","GURUGRAM-NEW
RAILWAY ROAD",,,"8,80,536.00","9,41,38,738.6
3 Dr.",
S41723349,18-12-2024,"NRTGS/HDFCR5202
4121871973688/SHR
EE HANUMAN
STEELS",-,,,"15,00,202.00","9,26,38,536.6
3 Dr.",
S41858105,18-12-2024,"NRTGS/SCBLR12024
121800808323/BHAR
AT TUBES
CORPORAT",-,,,"18,80,104.58","9,07,58,432.0
5 Dr.",
S42369059,18-12-2024,"NEFT_IN:SBIN52435
3193833/0028/ ASHA
FIRE PROTECTION
ENGINEERS",-,,,"3,75,791.00","9,03,82,641.0
5 Dr.",
S43075226,18-12-2024,"NRTGS/HDFCR5202
4121872040367/KHA
NDELWAL DECOR
WORL",-,,,"27,10,103.00","8,76,72,538.0
5 Dr.",
S44281447,18-12-2024,"NRTGS/INDBR32024
121800954320/SHRE
E MARUTINANDAN
TU",-,,,"9,25,996.00","8,67,46,542.0
5 Dr.",
S44799612,18-12-2024,"NRTGS/MAHBR5202
4121819084049/VIJA
Y STEEL TUBE CO",-,,,"7,12,388.00","8,60,34,154.0
5 Dr.",
S45026630,18-12-2024,"NRTGS/FDRLR52024
121800990947/ALLIE
D TUBES PVT LTD",-,,,"33,35,358.00","8,26,98,796.0
5 Dr.",
S45758990,18-12-2024,"NRTGS/UCBAR5202
4121800628015/HAR
YANA INDUSTRIES",-,,,"2,00,000.00","8,24,98,796.0
5 Dr.",
S45937954,18-12-2024,"NRTGS/KVBLR52024
121855581993/FUTE
CHPROJECTSINDIA
PV",-,,,"40,02,003.00","7,84,96,793.0
5 Dr.",
S46229261,18-12-2024,"NRTGS/JAKAR52024
121800032437/JVL
STEEL PRIVATE LIM",-,,,"14,77,935.00","7,70,18,858.0
5 Dr.",
S46350562,18-12-2024,"NRTGS/KVBLR52024
121855582024/FUTE
CHPROJECTSINDIA
PV",-,,,"20,00,000.00","7,50,18,858.0
5 Dr.",
S47139995,18-12-2024,"From:XXXX1464:RAJ
ESH STEELS",-,,,"4,00,000.00","7,46,18,858.0
5 Dr.",
S48140726,18-12-2024,"NRTGS/ICICR420241
21800542803/SUPER
IOR STEEL INDUST",-,,,"18,74,120.00","7,27,44,738.0
5 Dr.",
S48198752,18-12-2024,"NRTGS/ICICR420241
21800543097/SUPER
IOR STEEL INDUST",-,,,"18,11,698.00","7,09,33,040.0
5 Dr.",
S48986871,18-12-2024,"NRTGS/KKBKR2202
4121815141507/AJA
Y PIPE COMPANY",-,,,"16,11,683.00","6,93,21,357.0
5 Dr.",
S49116801,18-12-2024,"NRTGS/IDFBR52024
121800555221/BIND
AL PIPES PRIVATE",-,,,"15,00,000.00","6,78,21,357.0
5 Dr.",
S49642439,18-12-2024,"NRTGS/HSBCR2202
4121827965695/MAH
ANAGAR GAS
LIMITED",-,,,"26,11,887.00","6,52,09,470.0
5 Dr.",
S51640439,18-12-2024,"NRTGS/ICICR220241
21806809722/JINDAL
STAINLESS LIMI",-,,,"6,87,353.76","6,45,22,116.2
9 Dr.",
S52253454,18-12-2024,"NRTGS/UBINR22024
121801511206/NIKET
GYANVI INFRA CO",-,,,"14,11,953.00","6,31,10,163.2
9 Dr.",
S52663685,18-12-2024,"NRTGS/KKBKR5202
4121800816865/ADI
PIPE AND FITTINGS",-,,,"22,55,045.00","6,08,55,118.2
9 Dr.",
S52668139,18-12-2024,"NRTGS/HDFCR5202
4121872131588/ABHI
SHEK SALES",-,,,"15,00,000.00","5,93,55,118.2
9 Dr.",
S53000625,18-12-2024,"NRTGS/HDFCR5202
4121872013050/MAH
ARASHTRA PIPE
DIST",-,,,"23,86,069.00","5,69,69,049.2
9 Dr.",
S53245757,18-12-2024,"NEFT_IN:AXISP0058
6061024/0034/ TRP
CONSTRUCTION
MANAGEMENT PVT
LTD",-,,,"19,00,100.00","5,50,68,949.2
9 Dr.",
S53477573,18-12-2024,"NRTGS/SBINR12024
121869268699/Pipe
Traders",-,,,"5,00,000.00","5,45,68,949.2
9 Dr.",
S53877728,18-12-2024,"NRTGS/HDFCR5202
4121872107388/ZEE
L STEEL TUBES",-,,,"14,47,197.00","5,31,21,752.2
9 Dr.",
S53996169,18-12-2024,"NEFT_IN:386572291
21DC/0036/ V.K.
ENTERPRISES",-,,,"80,476.00","5,30,41,276.2
9 Dr.",
S54161068,18-12-2024,"NEFT_IN:AXOMB353
92001930/0036/
NOBLE TRADING
COMPANY",-,,,"50,000.00","5,29,91,276.2
9 Dr.",
S54238868,18-12-2024,"NEFT_IN:YESIG4353
0174094/0035/
DEEPESH
PRESSING",-,,,"14,00,000.00","5,15,91,276.2
9 Dr.",
S54267350,18-12-2024,"NRTGS/KKBKR2202
4121815139404/PIPE
TRADERS",-,,,"10,00,000.00","5,05,91,276.2
9 Dr.",
S54436983,18-12-2024,"NRTGS/ICICR420241
21800560918/JINDAL
INDUSTRIES  PV",-,,,"95,51,000.00","4,10,40,276.2
9 Dr.",
S54599417,18-12-2024,"NRTGS/YESBR1202
4121800022775/JIND
AL INDUSTRIES PR",-,,,"50,00,000.00","3,60,40,276.2
9 Dr.",
S58009829,18-12-2024,"From:XXXX3561:GU
PTA HARDWARE
STORE PVT. LT",-,,,"41,000.00","3,59,99,276.2
9 Dr.",
S58392843,18-12-2024,"NRTGS/ICICR420241
21800568334/INFRA
CORPORATION",-,,,"20,00,000.00","3,39,99,276.2
9 Dr.",
S58575401,18-12-2024,"NRTGS/ICICR420241
21800568417/INFRA
CORPORATION",-,,,"18,77,992.00","3,21,21,284.2
9 Dr.",
S58581402,18-12-2024,"NRTGS/ICICR420241
21800568481/INFRA
CORPORATION",-,,,"16,57,948.00","3,04,63,336.2
9 Dr.",
S60407469,18-12-2024,"NEFT_IN:KKBKH243
53847679/0039/
SHREE HANUMAN
STEELS AND
STRUCTURES",-,,,"14,08,517.00","2,90,54,819.2
9 Dr.",
S61902573,18-12-2024,"NEFT_IN:386597749
01DC/0041/ INFRA
CORPORATION",-,,,"1,38,285.00","2,89,16,534.2
9 Dr.",
S62015243,18-12-2024,"NRTGS/UBINR22024
121801530258/R.K.
DISTRIBUTORS",-,,,"16,00,000.00","2,73,16,534.2
9 Dr.",
S63094993,18-12-2024,"NEFT_IN:SBIN12435
3310706/0044/
GUPTA HARDWARE
STORE PVT LTD",-,,,"1,99,000.00","2,71,17,534.2
9 Dr.",
S72275052,19-12-2024,"GST
Onli/GST1912202400
0000625/5185365124
/CHD Nov 2",-,,"8,031.00",,"2,71,25,565.2
9 Dr.",
S72425027,19-12-2024,"GST
Onli/GST1912202400
0000648/5185365365
/GZB GST N",-,,"1,69,691.00",,"2,72,95,256.2
9 Dr.",
S72513766,19-12-2024,"GST
Onli/GST1912202400
0000667/5185365521
/Odissa GS",-,,"19,40,724.00",,"2,92,35,980.2
9 Dr.",
S72633270,19-12-2024,"GST
Onli/GST1912202400
0000692/5185365766
/RPR GST N",-,,"60,686.00",,"2,92,96,666.2
9 Dr.",
S72820970,19-12-2024,"GST
Onli/GST1912202400
0000737/5185366429
/MGG GST N",-,,"20,352.00",,"2,93,17,018.2
9 Dr.",
S72943693,19-12-2024,"NRTGS/ICICR420241
21900505765/SARAS
WATI STEEL TUBES",-,,,"13,93,007.00","2,79,24,011.2
9 Dr.",
S73123891,19-12-2024,"NRTGS/PUNBR5202
4121916239162/5185
367352/JSW DOLVI",-,,"2,00,00,000.0
0",,"4,79,24,011.2
9 Dr.",
S73127257,19-12-2024,"NRTGS/PUNBR5202
4121916239180/5185
367308/JSW DOLVI",-,,"2,00,00,000.0
0",,"6,79,24,011.2
9 Dr.",
S73163415,19-12-2024,"NRTGS/PUNBR5202
4121916239210/5185
367412/JSW DOLVI",-,,"50,00,000.00",,"7,29,24,011.2
9 Dr.",
S73628698,19-12-2024,"NRTGS/KKBKR5202
4121900894146/Guar
dian Castings Pvt",-,,,"3,64,691.00","7,25,59,320.2
9 Dr.",
M224040,19-12-2024,"JAIN BROTHERS
-025900","KARNAL, GT ROAD",,,"2,50,000.00","7,23,09,320.2
9 Dr.",
S76811531,19-12-2024,"IMPS-
IN/435477452055/932
4143357/VIKRAM A",-,,,"5,00,000.00","7,18,09,320.2
9 Dr.",
S77337850,19-12-2024,"NEFT_IN:N35424346
2599138/0019/ SHRI
ANAND PIPE
CENTRE",-,,,"2,15,000.00","7,15,94,320.2
9 Dr.",
S77882812,19-12-2024,"NRTGS/ICICR420241
21900514017/R.B.ST
EELS",-,,,"3,89,608.00","7,12,04,712.2
9 Dr.",
S77987589,19-12-2024,"NRTGS/INDBR32024
121900977058/BANS
AL STEEL TUBES
CO",-,,,"11,42,393.00","7,00,62,319.2
9 Dr.",
S78834229,19-12-2024,"NRTGS/ICICR420241
21900515993/SHAN
GRILA INFRACON IN",-,,,"6,07,752.00","6,94,54,567.2
9 Dr.",
S79281497,19-12-2024,"NRTGS/ICICR520241
21900587823/LOKES
H STEEL TUBES",-,,,"10,00,000.00","6,84,54,567.2
9 Dr.",
S79597609,19-12-2024,"NRTGS/JAKAR52024
121900070080/AGGA
RWAL TRADERS
PAR",-,,,"24,15,186.00","6,60,39,381.2
9 Dr.",
S80638084,19-12-2024,"IMPS-
IN/435412524750/999
9999999/AURO FIN",-,,,1.00,"6,60,39,380.2
9 Dr.",
S80785193,19-12-2024,"NRTGS/BKIDR52024
121900809052/SSR
STEELS
COORPORATI",-,,,"23,52,430.00","6,36,86,950.2
9 Dr.",
S83381944,19-12-2024,"NRTGS/CNRBR5202
4121995568977/SRE
EVATSA TUBES
PRIVA",-,,,"6,65,816.00","6,30,21,134.2
9 Dr.",
S83391952,19-12-2024,"NRTGS/UBINR22024
121901558508/N R S
ENTERPRISES",-,,,"7,00,000.00","6,23,21,134.2
9 Dr.",
S83570334,19-12-2024,"NRTGS/UBINR22024
121901558392/N R S
ENTERPRISES",-,,,"6,00,000.00","6,17,21,134.2
9 Dr.",
S83586298,19-12-2024,"NRTGS/CBINR12024
121910006601/M S
PIPE DISTRIBUTOR",-,,,"21,29,818.00","5,95,91,316.2
9 Dr.",
S83596499,19-12-2024,"NRTGS/IDFBR52024
121900566400/BIND
AL PIPES PRIVATE",-,,,"12,00,000.00","5,83,91,316.2
9 Dr.",
S84334344,19-12-2024,"NRTGS/AUBLR62024
121912487510/BANS
AL ALLIED
ENTERPR",-,,,"7,51,118.00","5,76,40,198.2
9 Dr.",
S84424732,19-12-2024,"NEFT_IN:N35424346
3104588/0027/ SHAM
PIPE AND IRON
STORE",-,,,"5,00,000.00","5,71,40,198.2
9 Dr.",
S86505128,19-12-2024,"NEFT_IN:IOBAN2435
4360508/0029/
ASOKA FERROCAST
LIMITED",-,,,"15,74,392.00","5,55,65,806.2
9 Dr.",
S87182024,19-12-2024,"From:XXXX3561:GU
PTA HARDWARE
STORE PVT. LT",-,,,"1,27,000.00","5,54,38,806.2
9 Dr.",
S87330498,19-12-2024,"NRTGS/PSIBR22024
121900430699/AJAY
PIPE COMPANY",-,,,"35,00,000.00","5,19,38,806.2
9 Dr.",
S87645712,19-12-2024,"NRTGS/JAKAR52024
121900046088/JVL
STEEL PRIVATE LIM",-,,,"16,73,406.00","5,02,65,400.2
9 Dr.",
S88766513,19-12-2024,"NRTGS/ICICR420241
21900537502/DURG
A ENTERPRISES",-,,,"15,00,000.00","4,87,65,400.2
9 Dr.",
S89078805,19-12-2024,"NRTGS/SCBLR12024
121900810531/BHAR
AT TUBES
CORPORAT",-,,,"15,00,000.00","4,72,65,400.2
9 Dr.",
S89981426,19-12-2024,"NRTGS/KARBR5202
4121900060700/TUB
E SYNDICATE",-,,,"4,95,694.00","4,67,69,706.2
9 Dr.",
S91320178,19-12-2024,"NEFT_IN:N35424346
3478751/0032/
MANSINGHKA
STORES",-,,,"16,39,248.00","4,51,30,458.2
9 Dr.",
M964562,19-12-2024,"SHIVA
ENTERPRISES
-329200","DABRA CHOWK,
HISAR",,,"5,00,000.00","4,46,30,458.2
9 Dr.",
S92485486,19-12-2024,"NRTGS/HDFCR5202
4121972514528/VINA
YAK PIPES AND TUB",-,,,"19,70,886.00","4,26,59,572.2
9 Dr.",
M1130664,19-12-2024,"SATYA NARAIN
AGGARWAL
-333500","NARNAUL,COURT
ROAD",,,"1,00,000.00","4,25,59,572.2
9 Dr.",
S93351936,19-12-2024,"NEFT_IN:N35424346
3518747/0033/
KIRPAL SINGH",-,,,"1,31,342.00","4,24,28,230.2
9 Dr.",
S93481409,19-12-2024,"NRTGS/UTIBR52024
121900364445/VIJAY
SALES CORPORATI",-,,,"28,74,793.00","3,95,53,437.2
9 Dr.",
S94535814,19-12-2024,"NRTGS/KKBKR5202
4121900606567/SHR
EE HANUMAN
STEELS",-,,,"18,14,113.00","3,77,39,324.2
9 Dr.",
S95121114,19-12-2024,"NRTGS/MAHBR5202
4121919100893/AAR
ADHYAA STEEL",-,,,"5,00,000.00","3,72,39,324.2
9 Dr.",
S95499823,19-12-2024,"NRTGS/YESBR1202
4121900022751/DEL
HI TUBES AND
PIPES",-,,,"19,50,000.00","3,52,89,324.2
9 Dr.",
S96819818,19-12-2024,"NEFT_IN:N35424346
3719280/0035/
SIGMA STEELS",-,,,"1,35,000.00","3,51,54,324.2
9 Dr.",
S97122066,19-12-2024,"NRTGS/UTIBR62024
121989539013/SING
HAL INDUSTRIES",-,,,"24,27,805.00","3,27,26,519.2
9 Dr.",
S97377348,19-12-2024,"NEFT_IN:AXOIC3549
8883264/0035/
FABRICATION HUB",-,,,"10,62,184.00","3,16,64,335.2
9 Dr.",
S98793075,19-12-2024,"NRTGS/HDFCR5202
4121972542133/MAD
RAS STEELS AND
TUB",-,,,"25,84,592.00","2,90,79,743.2
9 Dr.",
S99315572,19-12-2024,"NRTGS/UTIBR62024
121989550401/OPPO
PIPES PRIVATE LI",-,,,"8,63,000.00","2,82,16,743.2
9 Dr.",
S99963932,19-12-2024,"NRTGS/HDFCR5202
4121972507724/ZEE
L STEEL TUBES",-,,,"12,57,899.00","2,69,58,844.2
9 Dr.",
S908007,19-12-2024,"NRTGS/SRCBR1202
4121905466306/SHR
EEJI STEELTUBES
PV",-,,,"7,00,000.00","2,62,58,844.2
9 Dr.",
S1624187,19-12-2024,"NRTGS/ICICR420241
21900560606/INFRA
CORPORATION",-,,,"12,50,741.00","2,50,08,103.2
9 Dr.",
S1993728,19-12-2024,"NRTGS/ICICR420241
21900560660/INFRA
CORPORATION",-,,,"5,45,164.00","2,44,62,939.2
9 Dr.",
S2957848,19-12-2024,"IMPS-
IN/435419621687/701
5869792/PROJECT",-,,,"2,00,000.00","2,42,62,939.2
9 Dr.",
S3318212,19-12-2024,"NEFT_IN:IDFBH2435
4968046/0038/
SHANKARA
BUILDING
PRODUCTS LTD",-,,,"26,10,252.00","2,16,52,687.2
9 Dr.",
S3952796,19-12-2024,"From:XXXX1464:RAJ
ESH STEELS",-,,,"88,051.00","2,15,64,636.2
9 Dr.",
S4793052,19-12-2024,"NRTGS/INDBR32024
121900002049/MAHA
LUXMI BUILDTECH L",-,,,"15,64,687.00","1,99,99,949.2
9 Dr.",
S4828269,19-12-2024,"NEFT_IN:0811OP414
6345820/0037/
NANDKISHORE
COMPANY",-,,,"18,66,816.00","1,81,33,133.2
9 Dr.",
S5891928,19-12-2024,"NRTGS/HDFCR5202
4121972610738/CHO
PDASTEELTUBEPVT
LTD",-,,,"7,95,000.00","1,73,38,133.2
9 Dr.",
S9223634,19-12-2024,"NEFT_IN:SBIN22435
4526300/0042/
GUPTA HARDWARE
STORE PVT LTD",-,,,"86,000.00","1,72,52,133.2
9 Dr.",
S11743907,19-12-2024,"NRTGS/PUNBR5202
4121916285780/5185
463637/JINDAL IND",-,,"2,00,00,000.0
0",,"3,72,52,133.2
9 Dr.",
S11766817,19-12-2024,"NRTGS/PUNBR5202
4121916285784/5185
463774/JINDAL IND",-,,"1,50,00,000.0
0",,"5,22,52,133.2
9 Dr.",
S11777441,19-12-2024,"NRTGS/PUNBR5202
4121916285787/5185
463947/JINDAL IND",-,,"2,00,00,000.0
0",,"7,22,52,133.2
9 Dr.",
S11784068,19-12-2024,"NRTGS/PUNBR5202
4121916285790/5185
463876/JINDAL IND",-,,"2,00,00,000.0
0",,"9,22,52,133.2
9 Dr.",
S19738219,20-12-2024,"NRTGS/YESBR1202
4122000003535/DEL
HI TUBES AND
PIPES",-,,,"22,50,000.00","9,00,02,133.2
9 Dr.",
S21760904,20-12-2024,"NRTGS/UCBAR5202
4122000566284/DUN
I CHAND RADHEY
SHY",-,,,"5,00,000.00","8,95,02,133.2
9 Dr.",
S22153805,20-12-2024,"NRTGS/HDFCR5202
4122072637731/VOR
A AND CO",-,,,"15,97,785.00","8,79,04,348.2
9 Dr.",
S23375216,20-12-2024,"IMPS-
IN/435510498601/701
5869792/PROJECT",-,,,"1,50,000.00","8,77,54,348.2
9 Dr.",
S25430086,20-12-2024,"IMPS-
IN/435577963626/932
4143357/VIKRAM A",-,,,"5,00,000.00","8,72,54,348.2
9 Dr.",
S26441289,20-12-2024,"NRTGS/HDFCR5202
4122072638450/MAH
AVEER PIPES AND
CO",-,,,"13,93,180.00","8,58,61,168.2
9 Dr.",
S28341501,20-12-2024,"NRTGS/HDFCR5202
4122072722366/BALI
STEEL TUBES PVT",-,,,"29,57,841.00","8,29,03,327.2
9 Dr.",
S29287768,20-12-2024,"NRTGS/CNRBR5202
4122095649611/PAN
CHMUKHI
ENTERPRIS",-,,,"14,48,023.00","8,14,55,304.2
9 Dr.",
M492320,20-12-2024,"FRM PRABH DYAL
-485100","BARAN,GOVT HIGH
SCHOOL (PB)",,,"7,47,177.00","8,07,08,127.2
9 Dr.",
S32403100,20-12-2024,"NRTGS/KARBR5202
4122000247630/SRE
E VENKATESWARA
STR",-,,,"18,54,531.00","7,88,53,596.2
9 Dr.",
S32769645,20-12-2024,"NRTGS/HDFCR5202
4122072679953/SHIB
DASS   SONS PRIV",-,,,"8,41,188.00","7,80,12,408.2
9 Dr.",
S32828164,20-12-2024,"NRTGS/UTIBR52024
122000356440/VIJAY
SALES CORPORATI",-,,,"17,34,545.00","7,62,77,863.2
9 Dr.",
S33081369,20-12-2024,"NRTGS/HDFCR5202
4122072783703/SHR
EE GANESH TUBES
SU",-,,,"8,64,200.00","7,54,13,663.2
9 Dr.",
S33403900,20-12-2024,"NEFT_IN:N35524346
4920260/0028/
JINDAL PIPE
INDUSTRIES",-,,,"1,51,583.00","7,52,62,080.2
9 Dr.",
S33731623,20-12-2024,"GST
Onli/GST2012202400
0010500/5185561520
/JPR GST N",-,,"4,757.00",,"7,52,66,837.2
9 Dr.",
S33815246,20-12-2024,"GST
Onli/GST2012202400
0010560/5185561719
/BLR GST N",-,,"23,51,595.00",,"7,76,18,432.2
9 Dr.",
S34017325,20-12-2024,"GST
Onli/GST2012202400
0010739/5185562565
/HYD GST N",-,,"2,994.00",,"7,76,21,426.2
9 Dr.",
S34639120,20-12-2024,"GST
Onli/GST2012202400
0011240/5185564562
/MUM GST N",-,,"17,510.00",,"7,76,38,936.2
9 Dr.",
S34801942,20-12-2024,"NRTGS/UTIBR52024
122000358047/VIJAY
SALES CORPORATI",-,,,"15,20,611.00","7,61,18,325.2
9 Dr.",
S34859841,20-12-2024,"NEFT_IN:MAHBH243
55360366/0029/
AARADHYAA STEEL",-,,,"1,00,000.00","7,60,18,325.2
9 Dr.",
S34999195,20-12-2024,"NRTGS/UTIBR52024
122000358204/VIJAY
SALES CORPORATI",-,,,"8,42,812.00","7,51,75,513.2
9 Dr.",
S35212981,20-12-2024,"NRTGS/JAKAR52024
122000009055/JVL
STEEL PRIVATE LIM",-,,,"46,49,329.00","7,05,26,184.2
9 Dr.",
S35327225,20-12-2024,"NRTGS/JAKAR52024
122000008937/JVL
STEEL PRIVATE LIM",-,,,"7,29,164.00","6,97,97,020.2
9 Dr.",
S35892469,20-12-2024,"NRTGS/KKBKR2202
4122015166868/AJA
Y ENTERPRISES",-,,,"14,00,000.00","6,83,97,020.2
9 Dr.",
S36651507,20-12-2024,"GST
Onli/GST2012202400
0012760/5185571513
/HSR GST N",-,,"4,02,097.00",,"6,87,99,117.2
9 Dr.",
S37779451,20-12-2024,"NRTGS/HDFCR5202
4122072788735/JAI
PRAKASH AND
SONS",-,,,"10,44,212.00","6,77,54,905.2
9 Dr.",
S37836794,20-12-2024,"NRTGS/HDFCR5202
4122072788661/SHIV
STEEL ENTERPRISE",-,,,"5,49,000.00","6,72,05,905.2
9 Dr.",
S37972554,20-12-2024,"NRTGS/SCBLR12024
122000811916/BHAR
AT TUBES
CORPORAT",-,,,"18,44,879.40","6,53,61,025.8
9 Dr.",
S38038905,20-12-2024,"NRTGS/HDFCR5202
4122072748863/KHA
NDELWAL DECOR
WORL",-,,,"7,76,653.00","6,45,84,372.8
9 Dr.",
S38039928,20-12-2024,"NRTGS/HDFCR5202
4122072748867/KHA
NDELWAL DECOR
WORL",-,,,"7,45,606.00","6,38,38,766.8
9 Dr.",
S38300032,20-12-2024,"NRTGS/HDFCR5202
4122072748883/KHA
NDELWAL DECOR
WORL",-,,,"4,90,362.00","6,33,48,404.8
9 Dr.",
S39342723,20-12-2024,"NRTGS/HDFCR5202
4122072769909/ASIA
N PLASTICS",-,,,"7,50,000.00","6,25,98,404.8
9 Dr.",
S39413895,20-12-2024,"NRTGS/KKBKR5202
4122000779025/ADI
PIPE AND FITTINGS",-,,,"40,00,000.00","5,85,98,404.8
9 Dr.",
S39740622,20-12-2024,"NRTGS/ICICR420241
22000542497/DURG
A ENTERPRISES",-,,,"15,00,000.00","5,70,98,404.8
9 Dr.",
S39961076,20-12-2024,"NRTGS/HDFCR5202
4122072900972/SHR
EE HANUMAN
STEELS",-,,,"14,82,666.00","5,56,15,738.8
9 Dr.",
S40048808,20-12-2024,"NRTGS/HDFCR5202
4122072845442/SHR
EE HANUMAN
STEELS",-,,,"15,54,444.00","5,40,61,294.8
9 Dr.",
S40427068,20-12-2024,"NRTGS/CNRBR5202
4122095684354/HIN
D BUILDERS",-,,,"2,50,000.00","5,38,11,294.8
9 Dr.",
S40712065,20-12-2024,"NRTGS/HDFCR5202
4122072769258/JIND
AL PIPE INDUSTRIE",-,,,"18,57,650.00","5,19,53,644.8
9 Dr.",
M1186435,20-12-2024,"JAIN BRO
-025900","KARNAL, GT ROAD",,,"2,60,000.00","5,16,93,644.8
9 Dr.",
S42104197,20-12-2024,"NRTGS/ICICR420241
22000547584/METR
OO PIPES AND
TUBE",-,,,"10,73,502.00","5,06,20,142.8
9 Dr.",
S43119318,20-12-2024,"NRTGS/SCBLR12024
122000815890/MOKS
HI INDUSTRIES PRI",-,,,"17,96,352.00","4,88,23,790.8
9 Dr.",
S43343399,20-12-2024,"NEFT_IN:0811OP414
6386885/0034/
NANDKISHORE
COMPANY",-,,,"2,33,633.00","4,85,90,157.8
9 Dr.",
M1196071,20-12-2024,"TR
-329200","DABRA CHOWK,
HISAR",,,"1,80,000.00","4,84,10,157.8
9 Dr.",
S44925599,20-12-2024,"NRTGS/ICICR420241
22000552258/SARTH
AK TRADERS",-,,,"11,96,564.00","4,72,13,593.8
9 Dr.",
S45855926,20-12-2024,"NRTGS/ICICR220241
22006857257/JINDAL
STAINLESS LIMI",-,,,"5,93,812.75","4,66,19,781.1
4 Dr.",
S45999906,20-12-2024,"NEFT_IN:UCBAH243
55725285/0035/
RUDRANAND
TRADERS",-,,,"25,00,000.00","4,41,19,781.1
4 Dr.",
S47419289,20-12-2024,"NRTGS/HDFCR5202
4122072879294/SHR
EE RAM STEEL
WIRE",-,,,"8,00,000.00","4,33,19,781.1
4 Dr.",
S47440595,20-12-2024,"NRTGS/KKBKR2202
4122015173030/R
AND C
INFRAENGINEER",-,,,"32,06,906.00","4,01,12,875.1
4 Dr.",
S47546390,20-12-2024,"NEFT_IN:386783067
51DC/0035/ R S
TUBE INDUSTRIES",-,,,"20,09,113.00","3,81,03,762.1
4 Dr.",
S47801903,20-12-2024,"NRTGS/HDFCR5202
4122072896122/FLUI
DCONENGINEERS",-,,,"15,88,345.00","3,65,15,417.1
4 Dr.",
S47876620,20-12-2024,"NRTGS/IDFBR52024
122000589512/BIND
AL PIPES PRIVATE",-,,,"10,00,000.00","3,55,15,417.1
4 Dr.",
S48008848,20-12-2024,"NRTGS/IDFBR52024
122000589536/BIND
AL PIPES PRIVATE",-,,,"5,00,000.00","3,50,15,417.1
4 Dr.",
S48794307,20-12-2024,"NRTGS/HDFCR5202
4122072840583/MAD
RAS STEELS AND
TUB",-,,,"19,58,967.00","3,30,56,450.1
4 Dr.",
S48881461,20-12-2024,"NRTGS/FDRLR52024
122000639297/JINDA
L PIPE INDUSTRIE",-,,,"16,75,295.00","3,13,81,155.1
4 Dr.",
S48889808,20-12-2024,"NRTGS/HDFCR5202
4122072990174/ABHI
SHEK SALES",-,,,"15,00,000.00","2,98,81,155.1
4 Dr.",
S49687108,20-12-2024,"NEFT_IN:AXOIC3550
6118053/0036/
VEERBROTHERS
STEEL TUBES
PRIVATE LIMITED",-,,,"15,28,032.00","2,83,53,123.1
4 Dr.",
